City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Castro,-24.7911,-50.0119,64.96,87,92,10.8,BR,2022-11-26 17:51:09
68,Camalu,30.85,-116.0667,66.51,29,25,4.79,MX,2022-11-26 17:51:10
69,Bengkulu,-3.8004,102.2655,75.29,89,100,3.02,ID,2022-11-26 17:51:10
70,Caravelas,-17.7125,-39.2481,80.31,75,100,11.25,BR,2022-11-26 17:51:11
71,Cockburn Town,21.4612,-71.1419,80.35,71,8,9.73,TC,2022-11-26 17:51:11
72,Uddevalla,58.3478,11.9424,44.08,94,96,5.82,SE,2022-11-26 17:51:11
73,Padang,-0.9492,100.3543,73.45,85,82,3.74,ID,2022-11-26 17:51:12
74,Provideniya,64.3833,-173.3,8.08,77,6,6.62,RU,2022-11-26 17:51:12
75,Necochea,-38.5473,-58.7368,84.09,35,88,9.8,AR,2022-11-26 17:51:12
76,Gornopravdinsk,60.05,69.9,-15.48,96,54,4.23,RU,2022-11-26 17:51:13
77,Morro Bay,35.3658,-120.8499,69.21,41,39,1.99,US,2022-11-26 17:51:13
78,Ust-Nera,64.5667,143.2,-36.49,97,74,1.45,RU,2022-11-26 17:51:13
79,Avarua,-21.2078,-159.775,75.25,78,75,6.91,CK,2022-11-26 17:48:53
80,Esperance,-33.8667,121.9,59.0,67,94,12.08,AU,2022-11-26 17:51:14
81,Manokwari,-0.8667,134.0833,77.86,81,100,3.04,ID,2022-11-26 17:51:15
82,Rosita,13.9268,-84.4032,77.95,94,98,2.55,NI,2022-11-26 17:51:15
83,San Andres,12.5847,-81.7006,84.22,79,40,8.05,CO,2022-11-26 17:51:15
84,Kawardha,22.0167,81.25,60.66,51,0,4.63,IN,2022-11-26 17:51:16
85,Naze,28.3667,129.4833,67.12,71,53,12.24,JP,2022-11-26 17:51:16
86,Talcahuano,-36.7167,-73.1167,76.68,44,0,8.05,CL,2022-11-26 17:50:39
87,Arraial Do Cabo,-22.9661,-42.0278,78.76,69,40,13.8,BR,2022-11-26 17:49:03
88,Pong,19.1493,100.2752,71.19,99,72,2.17,TH,2022-11-26 17:51:17
89,Alugan,12.2188,125.4808,79.27,74,45,9.17,PH,2022-11-26 17:51:17
90,Vila Franca Do Campo,37.7167,-25.4333,62.2,80,100,6.67,PT,2022-11-26 17:51:17
91,Tiznit,29.5833,-9.5,70.52,24,0,2.21,MA,2022-11-26 17:52:18
92,Punta Gorda,26.9298,-82.0454,87.01,78,20,8.01,US,2022-11-26 17:48:26
93,Port Elizabeth,-33.918,25.5701,68.29,73,0,6.91,ZA,2022-11-26 17:52:19
94,Saint-Philippe,-21.3585,55.7679,74.79,74,33,9.89,RE,2022-11-26 17:52:19
95,Lorengau,-2.0226,147.2712,80.85,74,26,5.64,PG,2022-11-26 17:52:19
96,Bay Roberts,47.5999,-53.2648,40.51,88,100,8.01,CA,2022-11-26 17:52:20
97,Kargil,34.5667,76.1,20.28,48,0,4.59,IN,2022-11-26 17:52:20
98,Pangnirtung,66.1451,-65.7125,5.0,56,75,9.22,CA,2022-11-26 17:52:21
99,San Javier,37.8063,-0.8374,62.67,65,0,5.75,ES,2022-11-26 17:52:21
100,Praia,14.9215,-23.5087,82.94,47,0,20.71,CV,2022-11-26 17:50:32
101,Plettenberg Bay,-34.0527,23.3716,59.77,77,4,1.83,ZA,2022-11-26 17:52:22
102,Praia Da Vitoria,38.7333,-27.0667,63.75,72,20,10.8,PT,2022-11-26 17:52:22
103,Puerto Ayora,-0.7393,-90.3518,76.96,92,87,7.0,EC,2022-11-26 17:51:26
104,Wajid,3.8093,43.2471,83.39,49,99,6.62,SO,2022-11-26 17:52:23
105,Jamestown,42.097,-79.2353,51.39,45,0,10.36,US,2022-11-26 17:49:33
106,Bushehr,28.9684,50.8385,73.49,78,2,6.91,IR,2022-11-26 17:52:23
107,Quatre Cocos,-20.2078,57.7625,76.08,66,36,13.71,MU,2022-11-26 17:52:24
108,Port Alfred,-33.5906,26.891,62.19,88,87,6.64,ZA,2022-11-26 17:48:46
109,Carnarvon,-24.8667,113.6333,68.43,74,0,23.33,AU,2022-11-26 17:52:24
110,Boulder,40.0833,-105.3505,54.25,33,0,7.0,US,2022-11-26 17:47:46
111,Trincomalee,8.5711,81.2335,79.43,80,69,7.2,LK,2022-11-26 17:52:25
112,Port Lincoln,-34.7333,135.8667,56.79,80,67,10.56,AU,2022-11-26 17:52:25
113,Boyabat,41.4689,34.7667,47.08,80,100,3.09,TR,2022-11-26 17:52:25
114,San Simon De La Laguna,19.3,-100.0833,64.85,45,37,7.43,MX,2022-11-26 17:52:26
115,Ribeira Grande,38.5167,-28.7,63.77,59,20,11.5,PT,2022-11-26 17:52:26
116,Chuy,-33.6971,-53.4616,76.84,54,0,13.18,UY,2022-11-26 17:51:32
117,Beloha,-25.1667,45.05,79.18,64,91,6.38,MG,2022-11-26 17:52:27
118,Yashkul,46.1711,45.3435,44.78,85,100,17.31,RU,2022-11-26 17:52:27
119,Chokurdakh,70.6333,147.9167,-40.63,100,95,4.12,RU,2022-11-26 17:52:27
120,Ituacu,-13.8133,-41.2967,79.43,71,100,0.74,BR,2022-11-26 17:52:28
121,Cape Town,-33.9258,18.4232,65.12,63,20,27.63,ZA,2022-11-26 17:51:37
122,Klaksvik,62.2266,-6.589,49.12,96,100,33.22,FO,2022-11-26 17:50:07
123,Beira,-19.8436,34.8389,82.49,74,40,11.99,MZ,2022-11-26 17:52:28
124,Bad Doberan,54.1071,11.9005,45.1,98,11,8.1,DE,2022-11-26 17:48:13
125,Guerrero Negro,27.9769,-114.0611,68.79,29,53,5.59,MX,2022-11-26 17:52:29
126,Burnie,-41.0667,145.9167,53.94,89,91,11.41,AU,2022-11-26 17:52:29
127,Hilo,19.7297,-155.09,71.26,76,20,8.05,US,2022-11-26 17:48:24
128,Egvekinot,66.3167,-179.1667,-3.51,97,99,0.74,RU,2022-11-26 17:50:12
129,Portland,45.5234,-122.6762,44.49,96,75,5.01,US,2022-11-26 17:47:32
130,Sterling,39.0062,-77.4286,60.22,39,0,10.36,US,2022-11-26 17:50:07
131,Springdale,36.1867,-94.1288,51.28,90,100,10.36,US,2022-11-26 17:51:30
132,Pochutla,15.7432,-96.4661,87.82,54,47,6.67,MX,2022-11-26 17:52:30
133,Beringovskiy,63.05,179.3167,8.58,95,97,1.23,RU,2022-11-26 17:52:31
134,Banyumas,-7.5142,109.2942,73.36,96,100,2.19,ID,2022-11-26 17:52:31
135,Belyy Yar,53.6039,91.3903,-11.31,70,40,4.47,RU,2022-11-26 17:52:31
136,Isangel,-19.55,169.2667,76.42,87,81,6.73,VU,2022-11-26 17:52:32
137,Korla,41.7597,86.1469,38.44,32,79,4.52,CN,2022-11-26 17:53:32
138,Fortuna,40.5982,-124.1573,50.67,95,75,4.61,US,2022-11-26 17:53:32
139,Saint George,37.1041,-113.5841,37.99,44,0,0.0,US,2022-11-26 17:51:01
140,Markala,13.7021,-6.0659,82.36,14,29,4.14,ML,2022-11-26 17:53:33
141,Tukrah,32.5341,20.5791,63.82,56,100,12.93,LY,2022-11-26 17:53:34
142,Bambous Virieux,-20.3428,57.7575,76.21,73,40,8.05,MU,2022-11-26 17:53:34
143,Hovd,48.0056,91.6419,4.01,70,51,9.46,MN,2022-11-26 17:53:34
144,Ruteng,-8.6136,120.4721,63.32,91,100,0.63,ID,2022-11-26 17:53:35
145,Antofagasta,-23.65,-70.4,67.28,66,35,9.95,CL,2022-11-26 17:50:10
146,Leningradskiy,69.3833,178.4167,-7.11,91,100,1.5,RU,2022-11-26 17:53:35
147,Muisne,0.6,-80.0333,76.05,77,100,9.93,EC,2022-11-26 17:53:36
148,Price,39.5994,-110.8107,43.03,36,66,1.3,US,2022-11-26 17:53:36
149,Lebu,-37.6167,-73.65,63.77,71,0,18.66,CL,2022-11-26 17:48:41
150,Braganca,-1.0536,-46.7656,89.02,48,72,8.03,BR,2022-11-26 17:53:36
151,Saint-Leu,-21.15,55.2833,74.26,74,37,3.27,RE,2022-11-26 17:53:37
152,Bethel,41.3712,-73.414,53.91,47,5,1.01,US,2022-11-26 17:53:37
153,Vitoria,-20.3194,-40.3378,80.46,77,0,12.66,BR,2022-11-26 17:53:37
154,Poum,-20.2333,164.0167,76.87,71,34,9.28,NC,2022-11-26 17:53:38
155,Bluff,-46.6,168.3333,47.55,65,91,3.69,NZ,2022-11-26 17:53:38
156,Walvis Bay,-22.9575,14.5053,61.09,83,2,16.8,NA,2022-11-26 17:53:39
157,Torbay,47.6666,-52.7314,39.76,91,100,24.16,CA,2022-11-26 17:53:39
158,Saskylakh,71.9167,114.0833,-14.19,91,94,8.21,RU,2022-11-26 17:53:39
159,Ellsworth,44.5434,-68.4195,43.9,54,0,16.11,US,2022-11-26 17:53:40
160,Huarmey,-10.0681,-78.1522,72.1,76,65,10.27,PE,2022-11-26 17:53:40
161,Amuntai,-2.4177,115.2494,73.31,99,94,0.51,ID,2022-11-26 17:53:40
162,Onega,63.9061,38.1404,13.01,88,99,5.93,RU,2022-11-26 17:53:41
163,Balkanabat,39.5108,54.3671,61.07,33,8,13.96,TM,2022-11-26 17:53:41
164,Ilulissat,69.2167,-51.1,5.77,96,99,3.27,GL,2022-11-26 17:53:41
165,Victoria,22.2855,114.1577,75.38,83,95,13.0,HK,2022-11-26 17:53:33
166,Pisco,-13.7,-76.2167,71.65,73,20,11.5,PE,2022-11-26 17:53:42
167,Nandigama,16.7833,80.3,71.35,69,54,2.37,IN,2022-11-26 17:53:42
168,Otradnoye,59.7775,30.8181,14.05,84,98,6.93,RU,2022-11-26 17:53:43
169,Colares,38.7992,-9.4469,61.79,68,0,2.3,PT,2022-11-26 17:50:49
170,Manggar,-2.8833,108.2667,77.59,85,100,3.89,ID,2022-11-26 17:53:43
171,Kodinsk,58.6881,99.1844,-18.54,97,100,4.18,RU,2022-11-26 17:53:43
172,Faanui,-16.4833,-151.75,79.03,70,58,12.84,PF,2022-11-26 17:53:44
173,Nova Zagora,42.4833,26.0167,47.01,67,33,3.62,BG,2022-11-26 17:53:44
174,Hasaki,35.7333,140.8333,53.22,78,35,15.08,JP,2022-11-26 17:53:44
175,Georgetown,5.4112,100.3354,80.53,93,20,5.99,MY,2022-11-26 17:50:12
176,Shingu,33.7333,135.9833,54.64,87,0,6.98,JP,2022-11-26 17:53:45
177,Sayat,38.7839,63.8803,46.27,39,1,9.13,TM,2022-11-26 17:53:45
178,Cagmanaba,13.055,123.2971,78.37,83,2,8.86,PH,2022-11-26 17:53:46
179,Kayerkan,69.3497,87.7602,-17.48,75,100,7.38,RU,2022-11-26 17:53:46
180,Katsuura,35.1333,140.3,59.02,79,36,13.02,JP,2022-11-26 17:53:46
181,Manzhouli,49.6,117.4333,-2.51,88,100,8.81,CN,2022-11-26 17:53:47
182,Butaritari,3.0707,172.7902,79.92,77,97,6.22,KI,2022-11-26 17:53:47
183,Kingaroy,-26.5333,151.8333,58.66,96,45,3.42,AU,2022-11-26 17:53:48
184,Olafsvik,64.8945,-23.7142,40.39,81,54,7.49,IS,2022-11-26 17:53:48
185,Salamiyah,35.0113,37.0532,53.17,75,3,7.94,SY,2022-11-26 17:54:48
186,Ternate,0.8,127.4,80.67,81,100,5.32,ID,2022-11-26 17:54:49
